,ragamTB,B
0,begimana,bagaimana
1,kalo,kalau
2,telpon,telepon
3,kos,indekos
4,cek,mengecek
5,toples,stoples
6,asik,asyik
7,silahkan,silakan
8,rame,ramai
9,brewok,berewok
10,pepet,memepet
11,duh,aduh
12,setel,menyetel
13,kebut,mengebut
14,umpet,mengumpet
15,cabut,mencabut
16,rumpi,merumpi
17,detil,detail
18,angus,hangus
19,berantak,berantakan
20,tropi,trofi
21,hapal,hafal
22,keprek,mengeprek
23,mantol,mantel
24,nasehat,nasihat
25,ustad,ustaz
26,teraweh,tarawih
27,sukur,syukur
28,emak,mak
29,adzan,azan
30,puteri,putri
31,kecoa,kecoak
32,perduli,peduli
33,impi,mengimpikan
34,gue,aku
35,kaco,kacau
36,adhan,azan
37,abadiat,abadiah
38,abdul,abdu
39,aborsi,abortus
40,absorbsi,absorpsi
41,abui,aboi
42,adikanda,adinda
43,adpokat,advokat
44,adzab,azab
45,afdol,afdal
46,afuah,afwah
47,agribisnis,agrobisnis
48,akademik,akademis
49,akasa,angkasa
50,akte,akta
51,aktuil,aktual
52,akunting,perakunan
53,alumnus,alumni
54,amanah,amanat
55,amarah,marah
56,ambacang,embacang
57,ambril,amril
58,ampibi,amfibi
59,ampung,apung
60,amuba,ameba
61,anduk,handuk
62,anoda,anode
63,aqad,akad
64,aqidah,akidah
65,arta,harta
66,atsiri,asiri
67,azemat,azmat
68,karir,karier
69,ilir,hilir
70,bongkas,bungkas
71,bongkok,bungkuk
72,bonyor,bonyok
73,buhur,buhul
74,bujanggi,bujangga
75,cambah,kecambah
76,catet,catat
77,cauk,caung
78,cecer,cecar
79,cegas,cergas
80,cekalang,cakalang
81,cekerau,cekarau
82,ceritera,cerita
83,cikalang,cakalang
84,cingah,cingangah
85,cingbing,cengbeng
86,cingcau,cincau
87,cingcong,cincong
88,cipoa,swipoa
89,codang,codak
90,coklat,cokelat
91,dipati,adipati
92,donatir,donator
93,ejung,jung
94,eluk,huk
95,emak,mak
96,erotis,erotik
97,faham,paham
98,formil,formal
99,gara,gahara
100,gasir,gangsir
